SCP, SCP_REFERENCE_N, N_OF_OCCUR
482, 482, 19
483, 483, 6
483, 222, 1
484, 484, 28
485, 485, 5
486, 486, 14
487, 487, 22
488, 488, 3
489, 489, 19
490, 490, 12
491, 491, 20
492, 492, 30
493, 493, 17
494, 494, 9
495, 495, 11
496, 496, 26
497, 497, 23
498, 498, 15
499, 499, 11
500, 500, 16
500, 38, 3
500, 8, 1
501, 501, 17
502, 502, 24
503, 503, 10
504, 504, 25
505, 505, 7
506, 506, 21
507, 507, 32
508, 508, 28
508, 507, 1
509, 509, 3
510, 510, 31
511, 511, 28
512, 512, 17
513, 513, 10
514, 514, 26
515, 515, 15
516, 516, 19
517, 517, 8
518, 518, 19
519, 519, 6
520, 520, 8
521, 521, 16
522, 522, 38
523, 523, 16
523, 682, 1
524, 524, 12
525, 525, 10
526, 526, 4
527, 527, 11
528, 528, 28
529, 529, 3
530, 530, 5
531, 531, 22
532, 532, 25
533, 533, 11
534, 534, 8
535, 535, 18
536, 536, 22
537, 537, 33
537, 43, 13
538, 538, 23
539, 539, 4
540, 540, 14
541, 541, 28
541, 914, 1
542, 542, 26
543, 543, 9
544, 544, 36
545, 545, 5
546, 546, 11
547, 547, 9
548, 548, 9
548, 2082, 2
549, 549, 14
550, 550, 33
551, 551, 17
552, 552, 12
553, 553, 20
554, 554, 24
555, 555, 10
556, 556, 15
557, 557, 12
558, 558, 7
559, 559, 13
560, 560, 19
561, 561, 14
562, 562, 17
563, 563, 14
564, 564, 21
565, 565, 15
566, 566, 23
567, 567, 8
568, 568, 19
569, 569, 14
570, 570, 19
571, 571, 34
572, 572, 9
573, 573, 14
574, 574, 19
575, 575, 28
576, 576, 16
577, 577, 16
578, 578, 13
579, 579, 38
580, 580, 7
581, 581, 8
582, 582, 23
583, 583, 11
584, 584, 13
585, 585, 8
586, 586, 5
587, 587, 7
588, 588, 27
589, 589, 37
590, 590, 20
591, 591, 17
592, 592, 22
593, 593, 13
594, 594, 11
595, 595, 13
596, 596, 33
597, 597, 2
598, 598, 14
599, 599, 14
600, 600, 15
601, 601, 34
602, 602, 26
603, 603, 31
604, 604, 12
605, 605, 15
606, 606, 36
607, 607, 30
608, 608, 5
609, 609, 11
610, 610, 13
611, 611, 16
612, 612, 25
613, 613, 14
614, 614, 15
615, 615, 29
616, 616, 18
617, 617, 32
618, 618, 9
619, 619, 14
620, 620, 16
621, 621, 38
622, 622, 51
623, 623, 20
624, 624, 25
625, 625, 33
626, 626, 12
627, 627, 13
628, 628, 9
629, 629, 20
630, 630, 18
631, 631, 22
632, 632, 28
633, 633, 28
634, 634, 19
635, 635, 2
636, 636, 15
637, 637, 10
638, 638, 9
639, 639, 16
640, 640, 17
641, 641, 10
642, 642, 2
643, 643, 30
644, 644, 19
645, 645, 17
646, 646, 12
647, 647, 24
648, 648, 12
649, 649, 24
650, 650, 5
651, 651, 11
652, 652, 12
653, 653, 19
654, 654, 14
655, 655, 16
656, 656, 13
657, 657, 43
658, 658, 30
659, 659, 20
660, 660, 21
661, 661, 29
662, 662, 6
663, 663, 23
664, 664, 11
665, 665, 14
666, 666, 18
667, 667, 5
668, 668, 23
668, 682, 1
669, 669, 24
670, 670, 22
671, 671, 15
672, 672, 19
673, 673, 21
674, 674, 19
675, 675, 15
676, 676, 8
677, 677, 11
678, 678, 20
679, 679, 6
